[INFO] Scanning for projects...
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:optimizer:jar:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 20, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:libnlopt4j:jnilib:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ org.nlopt4j:parent:1.0-SNAPSHOT, /Users/patrickli/git/nlopt4j/pom.xml, line 14, column 15
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-surefire-plugin is missing. @ line 65, column 15
[WARNING] 'build.plugins.plugin.version' for org.codehaus.mojo:native-maven-plugin is missing. @ line 28, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:parent:pom:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 14, column 15
[WARNING] 
[WARNING] It is highly recommended to fix these problems because they threaten the stability of your build.
[WARNING] 
[WARNING] For this reason, future Maven versions might no longer support building such malformed projects.
[WARNING] 
[INFO] ------------------------------------------------------------------------
[INFO] Reactor Build Order:
[INFO] 
[INFO] parent                                                             [pom]
[INFO] optimizer                                                          [jar]
[INFO] libnlopt4j                                                      [jnilib]
[INFO] 
[INFO] -------------------------< org.nlopt4j:parent >-------------------------
[INFO] Building parent 1.0-SNAPSHOT                                       [1/3]
[INFO] --------------------------------[ pom ]---------------------------------
[INFO] 
[INFO] -----------------------< org.nlopt4j:optimizer >------------------------
[INFO] Building optimizer 1.0-SNAPSHOT                                    [2/3]
[INFO] --------------------------------[ jar ]---------------------------------
[WARNING] The POM for Stock-analysis:Stock-analysis:jar:0.0.1-SNAPSHOT is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
[INFO] 
[INFO] --- maven-resources-plugin:2.6:resources (default-resources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/main/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:compile (default-compile) @ optimizer ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-resources-plugin:2.6:testResources (default-testResources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:testCompile (default-testCompile) @ optimizer ---
[INFO] No sources to compile
[INFO] 
[INFO] --- maven-surefire-plugin:2.12.4:test (default-test) @ optimizer ---
[INFO] No tests to run.
[INFO] 
[INFO] -----------------------< org.nlopt4j:libnlopt4j >-----------------------
[INFO] Building libnlopt4j 1.0-SNAPSHOT                                   [3/3]
[INFO] -------------------------------[ jnilib ]-------------------------------
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:initialize (default-initialize) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:unzipinc (default-unzipinc) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:javah (default-javah) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'javah' '-o' '/Users/patrickli/git/nlopt4j/include/nlopt_jni.h' '-classpath' '/Users/patrickli/git/nlopt4j/maven-macosx/target/classes:/Users/patrickli/git/nlopt4j/maven-java/target/classes:/Users/patrickli/.m2/repository/junit/junit/4.11/junit-4.11.jar:/Users/patrickli/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/patrickli/.m2/repository/Stock-analysis/Stock-analysis/0.0.1-SNAPSHOT/Stock-analysis-0.0.1-SNAPSHOT.jar:/Users/patrickli/.m2/repository/org/apache/commons/commons-lang3/3.9/commons-lang3-3.9.jar' 'org.nlopt4j.optimizer.NLopt'
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:compile (default-compile) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:link (default-link) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'gcc' '-dynamiclib' '-framework' 'JavaVM' '/Users/patrickli/nlopt/lib/libnlopt.dylib' '-o' '/Users/patrickli/git/nlopt4j/maven-macosx/target/libnlopt4j.jnilib' 'objs/nlopt_jni.o'
[INFO] 
[INFO] --- maven-resources-plugin:3.1.0:testResources (default-testResources) @ libnlopt4j ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-macosx/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.8.1:testCompile (default-testCompile) @ libnlopt4j ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-surefire-plugin:3.0.0-M4:test (default-test) @ libnlopt4j ---
[INFO] 
[INFO] -------------------------------------------------------
[INFO]  T E S T S
[INFO] -------------------------------------------------------
[INFO] Running org.nlopt4j.optimizer.TestAlgoPerformance_CRS2_LM
##########09:18:37 NLOPT_Start_Time
Run,RSIMagnitude,RSILowerThan,SMAMagnitude,VolumeHigherThan,ReentryRSIMagnitude,ReentryRSILowerThan,TakeProfit,StopLoss,StartExecute,EndExecute,NetProfit,AnnualIncrement,TotalTradedVolume
133,78,26.55,64,1.2,106,35.92,1.17,0.88,11:00:33,11:00:36,14530.684699999983,0.002367756886348271,1375250.53
134,33,20.55,76,1.48,191,38.67,1.06,0.78,11:00:36,11:00:39,66146.96714999992,0.010012408465183809,7965739.085000003
135,57,28.09,30,1.98,196,37.85,1.33,0.86,11:00:39,11:00:42,158690.60522999987,0.02145662496292111,5723723.177000001
136,9,27.22,30,1.73,186,42.38,1.2,0.8,11:00:42,11:00:57,886709.2495249996,0.07117678929772664,5.395921488750002E7
137,144,24.73,67,1.53,173,35.46,1.13,0.76,11:00:57,11:01:02,0.0,0.0,0.0
138,9,30.41,30,1.94,184,50.0,1.31,0.84,11:01:02,11:01:19,2060849.5988099999,0.10865738251038337,6.361432491900003E7
139,172,28.27,30,1.91,148,45.61,1.21,0.86,11:01:19,11:01:27,0.0,0.0,0.0
140,9,31.79,30,1.96,220,50.0,1.32,0.83,11:01:27,11:01:45,768016.0481670001,0.0655475287527032,3.5887445233300015E7
141,152,27.08,46,2.0,176,36.17,1.25,0.84,11:01:45,11:01:52,0.0,0.0,0.0
142,9,31.04,30,1.93,187,50.0,1.34,0.83,11:01:52,11:02:09,1375553.521486,0.08981266966692947,4.342306761140004E7
143,9,20.0,83,1.92,77,32.64,1.34,0.75,11:02:09,11:02:16,1204618.1385560003,0.083964980940197,4.040635596439999E7
144,9,32.44,66,1.62,188,34.82,1.14,0.84,11:02:16,11:02:32,49282.2959449999,0.007633890267058296,3.991469484550001E7
145,107,36.06,70,1.91,144,25.85,1.34,0.75,11:02:32,11:02:38,-63774.1690250001,-0.011878596565836785,5154798.7524999995
146,9,24.88,30,1.95,223,50.0,1.3,0.84,11:02:38,11:02:54,1118931.0964519996,0.08079170436369454,4.824813557480002E7
147,53,30.32,80,1.6,133,38.5,1.15,0.81,11:02:54,11:02:58,-206978.733722,-0.056866764067799114,7608630.452200001
148,9,30.5,30,2.0,228,50.0,1.35,0.84,11:02:58,11:03:16,1760285.315182,0.10113433708936181,5.4689858591800034E7
149,15,33.07,47,1.63,230,50.0,1.35,0.75,11:03:16,11:03:32,117957.64391899994,0.016718090121915274,1.5220621558100004E7
150,47,33.18,44,2.0,270,50.0,1.35,0.87,11:03:32,11:03:43,252285.23211999994,0.03098443523025063,1.7776245098000005E7
151,24,29.21,80,1.53,175,50.0,1.3,0.84,11:03:43,11:03:51,36520.84254299989,0.005760408297188047,1.7433520195700005E7
152,112,29.44,60,1.2,77,50.0,1.26,0.87,11:03:51,11:03:56,-27530.811800000025,-0.004801283699050418,1066199.1800000002
153,9,30.94,30,2.0,190,50.0,1.33,0.82,11:03:56,11:04:13,641713.0720439999,0.05886322980666003,2.9057047035600018E7
154,9,22.57,30,2.0,40,43.06,1.35,0.85,11:04:13,11:04:21,953998.0727649999,0.07413478406875784,3.0441760913499996E7
155,9,29.37,44,1.75,155,44.92,1.23,0.84,11:04:21,11:04:36,2054196.6553419996,0.10850096157522815,9.994063329580005E7
156,9,31.88,30,1.88,123,50.0,1.35,0.78,11:04:36,11:04:51,2297463.6510249996,0.11396465469351047,4.9043871837500006E7
157,94,27.32,36,1.55,240,39.93,1.31,0.88,11:04:52,11:04:56,-33994.09999999998,-0.00599515618435531,364410.0
158,9,35.98,30,1.92,88,50.0,1.35,0.75,11:04:56,11:05:12,850494.6774870001,0.06951817190809395,2.0800325961300004E7
159,116,30.16,67,1.47,116,38.06,1.25,0.82,11:05:12,11:05:17,-66246.13600000003,-0.012398190019895505,824533.6
160,9,32.33,30,2.0,125,50.0,1.35,0.77,11:05:17,11:05:32,1674060.3291689996,0.09878306773122425,3.629207836309998E7
161,9,33.02,30,2.0,142,50.0,1.35,0.9,11:05:32,11:05:48,799873.9183189999,0.06711465058555466,3.61355656281E7
162,9,24.05,30,1.95,139,50.0,1.34,0.75,11:05:48,11:06:00,1066548.0029710003,0.07876086253827874,2.9588318002900004E7
163,80,27.17,77,1.41,139,44.08,1.17,0.78,11:06:00,11:06:03,-16864.8566,-0.0028887271990200025,1277087.6600000001
164,9,35.31,30,2.0,109,50.0,1.35,0.77,11:06:03,11:06:19,256934.18464300013,0.03141663378852799,1.68416087057E7
165,113,24.44,48,1.37,49,37.71,1.15,0.79,11:06:19,11:06:23,19859.70000000001,0.003210140876652945,219030.0
166,9,36.77,30,1.58,183,50.0,1.18,0.8,11:06:23,11:06:43,888622.4942630001,0.07126307224928774,4.354392916370004E7
167,85,37.3,40,1.59,218,44.62,1.19,0.9,11:06:43,11:06:52,-218432.55981499993,-0.06304274378352981,7216122.931499999
168,9,30.91,30,2.0,34,50.0,1.35,0.75,11:06:52,11:07:04,1171821.9668079999,0.08277121391161835,3.158659643920002E7
169,9,21.2,30,1.47,13,29.34,1.18,0.87,11:07:04,11:07:11,876529.6884720002,0.07071548051315024,7.214009755280001E7
170,125,33.71,72,1.39,29,50.0,1.23,0.86,11:07:11,11:07:16,28079.129085000022,0.0044836391579692325,2366869.5415000003
171,106,26.6,62,1.2,133,29.19,1.21,0.75,11:07:16,11:07:20,34534.09999999998,0.005462683485685238,831590.0
172,19,30.29,30,2.0,146,38.5,1.35,0.83,11:07:20,11:07:30,833951.062222,0.06874390965552046,3.095820944779999E7
173,104,36.11,43,1.75,194,27.41,1.35,0.75,11:07:30,11:07:36,-43563.11973999994,-0.00781430438883135,5490725.774
174,9,30.26,30,1.93,62,50.0,1.35,0.79,11:07:36,11:07:48,138537.67758100003,0.019164488660453616,1.4621247791899996E7
175,80,25.22,30,1.29,9,50.0,1.27,0.88,11:07:48,11:07:51,-37719.0,-0.00669578399537063,361900.0
176,9,35.65,30,1.91,181,50.0,1.35,0.75,11:07:51,11:08:09,1001506.9645209999,0.07613377481250372,2.3295643397899996E7
177,127,40.0,51,1.73,132,38.06,1.35,0.82,11:08:09,11:08:17,-111400.93642499982,-0.022940720232218048,8102540.2125
178,9,27.24,30,1.95,114,50.0,1.35,0.75,11:08:17,11:08:30,1995650.462034,0.10710605340343493,4.82943135566E7
179,9,29.25,66,1.7,179,50.0,1.34,0.81,11:08:30,11:08:43,248778.578169,0.030656139795329773,2.1696355593100008E7
180,58,36.06,34,2.0,137,50.0,1.27,0.93,11:08:43,11:08:50,-203217.7398400001,-0.05499582924323676,7922088.263999999
181,9,31.12,30,1.81,119,50.0,1.35,0.75,11:08:50,11:09:05,1490462.100671,0.09343304294264021,3.0771938582899995E7
182,88,28.76,46,2.0,157,44.11,1.23,0.75,11:09:05,11:09:08,-14105.902000000002,-0.0024051539272950118,1278650.2
183,9,34.87,30,1.79,95,50.0,1.35,0.8,11:09:08,11:09:24,119433.48945099983,0.016897295821695524,1.42149921249E7
184,103,35.08,69,1.52,279,28.72,1.17,0.92,11:09:24,11:09:31,-200764.38876599987,-0.05381226384908866,7893037.0566
185,9,30.9,30,1.93,68,50.0,1.35,0.75,11:09:31,11:09:44,955615.0379819998,0.07420399373184594,2.467787756180001E7
186,9,24.81,30,1.85,136,50.0,1.33,0.81,11:09:44,11:09:55,1928344.4871419994,0.10546005377444256,4.88359678858E7
187,49,38.31,30,1.39,264,50.0,1.2,0.83,11:09:55,11:10:10,291148.6511710001,0.034495896761008726,2.5469159232900005E7
188,101,32.91,63,2.0,70,50.0,1.28,0.75,11:10:10,11:10:14,-37629.40149999992,-0.006678820484944281,2202337.35
189,9,30.9,30,1.8,164,50.0,1.35,0.79,11:10:14,11:10:27,-201228.199335,-0.054033872361832325,4649701.0835
190,166,35.15,56,1.56,116,21.59,1.25,0.79,11:10:27,11:10:33,90811.37030000013,0.01330992585814772,1672881.97
191,132,40.0,72,1.43,300,39.47,1.23,0.79,11:10:33,11:10:44,107091.52102700004,0.015379848686939868,1.44935122873E7
192,124,40.0,30,2.0,279,50.0,1.32,0.86,11:10:44,11:10:55,362450.7564640001,0.04040305143154321,1.6070783743599996E7
193,9,34.2,30,1.88,207,41.72,1.32,0.82,11:10:55,11:11:16,1930499.4586440003,0.10551348225713664,6.4675437205600016E7
194,55,20.0,64,1.37,199,45.78,1.18,0.87,11:11:16,11:11:18,-19720.197599999956,-0.003393931358570468,564947.76
195,9,34.76,30,2.0,87,50.0,1.35,0.75,11:11:18,11:11:34,1010576.0196839999,0.07650747083537035,2.78527858716E7
196,9,30.35,40,1.94,31,50.0,1.27,0.77,11:11:34,11:11:45,769404.1504899997,0.0656167307391915,3.4642510350999996E7
197,71,22.31,86,1.2,261,29.66,1.15,0.81,11:11:45,11:11:48,-29424.07680000004,-0.005148189339031162,555327.6799999999
198,9,34.26,30,2.0,9,50.0,1.35,0.77,11:11:48,11:12:02,1078870.6878500003,0.07924517129864217,2.6887583555000003E7
199,45,26.08,51,1.27,24,36.17,1.16,0.75,11:12:02,11:12:04,-39189.32077100006,-0.006974946231328771,7912498.007100001
200,9,35.04,30,2.0,193,50.0,1.35,0.78,11:12:04,11:12:21,650470.6417590001,0.05935341905111868,2.0512381944099996E7
201,88,28.89,66,1.63,170,42.66,1.29,0.75,11:12:21,11:12:25,2370.7756549998885,3.9365364259658087E-4,1795132.2845
202,9,32.19,30,1.91,119,50.0,1.35,0.78,11:12:25,11:12:39,976808.6015809998,0.07510338004784112,2.68243127519E7
203,23,27.17,54,1.8,102,43.82,1.28,0.79,11:12:39,11:12:45,172902.8307289998,0.02301625158275522,1.7618738417100005E7
204,46,26.9,30,2.0,60,50.0,1.35,0.75,11:12:45,11:12:47,84049.26499800012,0.012425987132618221,5938554.5202
205,87,34.07,30,1.36,129,38.97,1.18,0.79,11:12:47,11:12:51,66586.84240499989,0.010073043425530948,8650055.9095
206,9,32.5,30,2.0,182,50.0,1.35,0.75,11:12:51,11:13:07,747480.879756,0.06451366915818002,1.95373147544E7
207,93,25.73,30,1.75,199,50.0,1.35,0.75,11:13:07,11:13:10,-26977.099999999977,-0.004700259056796496,172710.0
208,9,35.65,30,2.0,66,50.0,1.35,0.79,11:13:10,11:13:25,460337.3392129999,0.047597017199025426,1.763444968869999E7
209,9,29.09,30,1.66,177,50.0,1.35,0.75,11:13:25,11:13:40,1628226.771464,0.09749321167113156,3.663514988360003E7
210,82,34.56,40,2.0,200,37.47,1.31,0.8,11:13:40,11:13:46,297761.796749,0.035071486420147346,1.12552636151E7
211,101,29.44,52,1.4,242,38.0,1.28,0.8,11:13:46,11:13:50,-93851.47170000005,-0.018584417598603076,1384962.1700000002
212,9,31.93,30,2.0,14,50.0,1.35,0.76,11:13:50,11:14:03,729226.3946039998,0.06357833699854898,1.83447907396E7
213,153,38.87,43,1.71,80,34.54,1.28,0.8,11:14:03,11:14:09,-53768.62847799994,-0.009826939262826961,6939704.9078
214,9,27.22,30,1.92,144,50.0,1.35,0.75,11:14:09,11:14:22,1983755.777603,0.10681852711798068,3.993583729970003E7
215,109,30.02,56,2.0,209,50.0,1.32,0.82,11:14:22,11:14:27,-115737.20919999998,-0.02407640188697946,774012.9199999999
216,9,33.68,30,1.84,41,50.0,1.35,0.75,11:14:27,11:14:40,1469889.037906,0.09280139123419429,3.608729918939998E7
217,78,30.96,50,1.68,190,39.15,1.21,0.9,11:14:40,11:14:45,89506.7007499999,0.01314051733466437,7237865.225000001
218,9,30.5,37,1.81,300,50.0,1.3,0.75,11:14:45,11:15:03,881338.1996149998,0.07093385913832528,2.8941744598500002E7
219,78,27.43,61,1.35,129,36.38,1.16,0.83,11:15:03,11:15:07,41694.87862000003,0.0065279999339526995,1653378.3379999998
220,9,33.23,30,2.0,119,50.0,1.35,0.77,11:15:07,11:15:22,933923.5464950001,0.07326841764320857,2.646977926049999E7
221,81,24.26,51,1.8,54,34.41,1.28,0.89,11:15:22,11:15:24,-33071.90000000002,-0.00582313647872712,366190.0
222,9,37.79,30,1.91,187,50.0,1.35,0.75,11:15:24,11:15:43,756101.3106290002,0.06494999622232633,1.8895958417100005E7
223,26,34.8,51,1.4,181,50.0,1.27,0.75,11:15:43,11:15:54,29317.408427999995,0.004672862844611325,1.3479803277199995E7
224,9,31.19,30,2.0,108,50.0,1.35,0.79,11:15:54,11:16:07,679679.7898389999,0.06095788475474939,2.39980795861E7
225,56,28.02,53,1.41,202,34.84,1.23,0.85,11:16:07,11:16:12,83197.484971,0.012313596076958033,1.0847291212900003E7
226,9,24.88,30,1.72,99,41.95,1.28,0.79,11:16:12,11:16:22,90432.81456500012,0.013260826610083765,1.5247862903500002E7
227,9,35.33,30,1.94,232,43.04,1.35,0.8,11:16:22,11:16:40,80682.06028700009,0.01198029894772068,1.631933731130001E7
228,19,23.84,40,1.51,50,45.67,1.25,0.79,11:16:40,11:16:45,187645.37647999998,0.024587711483964547,2.2984699292000003E7
229,49,29.32,45,1.67,148,46.35,1.24,0.81,11:16:45,11:16:49,22231.03608999995,0.0035807113339934027,1.3031191740999999E7
230,9,34.1,30,2.0,101,50.0,1.35,0.77,11:16:49,11:17:04,1098113.5740520002,0.07999329659557208,2.9834028004800003E7
231,9,27.73,33,1.56,9,40.42,1.28,0.82,11:17:04,11:17:14,1391390.5521570004,0.09032540713497883,6.12869263343E7
232,51,28.26,69,1.33,162,44.42,1.19,0.75,11:17:14,11:17:18,260012.5061479999,0.031700933624281724,1.1511816465200001E7
233,36,40.0,44,1.92,192,46.93,1.35,0.75,11:17:18,11:17:34,1192919.800323,0.08354202785272302,3.4678050757699996E7
234,75,40.0,30,2.0,126,50.0,1.35,0.83,11:17:34,11:17:42,-186007.05111799997,-0.04723052061387334,8152654.771799999
235,9,31.26,30,1.85,120,50.0,1.35,0.77,11:17:42,11:17:56,1971483.939288,0.10652038909945172,4.4767564471200004E7
236,19,25.12,39,1.59,258,38.12,1.26,0.81,11:17:56,11:18:06,379080.44338199974,0.04169360601483452,3.1555690051800013E7
237,9,40.0,34,2.0,22,50.0,1.35,0.75,11:18:06,11:18:23,1810600.0997550003,0.10246353828565247,3.58106113345E7
238,67,34.0,30,2.0,232,45.5,1.29,0.84,11:18:23,11:18:31,534634.5945539998,0.05249188586748099,1.8214061434599996E7
239,124,27.39,63,1.75,240,32.93,1.25,0.79,11:18:31,11:18:35,88491.19999999995,0.013008283250856678,686880.0
240,9,34.17,30,1.89,112,50.0,1.35,0.76,11:18:35,11:18:50,1471413.916453,0.09284844807739079,3.7460846394700006E7
241,23,35.56,57,1.38,162,44.05,1.25,0.75,11:18:50,11:19:00,-65790.32044499996,-0.01230198886483913,6954706.974500001
242,9,29.61,30,2.0,99,50.0,1.35,0.78,11:19:00,11:19:13,1220358.575148,0.08452917292016804,3.3370767535200015E7
243,35,29.03,39,1.79,266,47.5,1.28,0.77,11:19:13,11:19:21,261464.49436299992,0.031834517764895987,1.5260389073700001E7
244,9,31.61,30,1.72,253,50.0,1.34,0.75,11:19:21,11:19:39,1539401.2727180002,0.09490833385143338,3.738046354820002E7
245,9,35.64,30,1.87,119,50.0,1.34,0.79,11:19:39,11:19:55,160507.4987639999,0.021658547026913277,1.2941927293599997E7
246,32,28.27,31,1.87,59,48.58,1.35,0.8,11:19:55,11:19:59,865964.5282419994,0.07023267007358447,2.1970329335800003E7
247,27,32.13,42,1.73,142,41.79,1.32,0.79,11:19:59,11:20:07,-43606.12278900013,-0.007822624254727462,1.2621193228900002E7
248,9,31.76,30,1.97,105,50.0,1.35,0.77,11:20:07,11:20:21,1479780.3133860002,0.09310594731170019,3.672706978139999E7
249,14,20.61,30,1.39,77,50.0,1.2,0.86,11:20:21,11:20:26,173786.80897100002,0.023111780946847738,2.6744584452900007E7
250,53,40.0,56,1.64,80,36.98,1.26,0.81,11:20:26,11:20:35,-113390.00989299998,-0.023458550445912052,6189320.3393
251,9,28.57,30,2.0,143,50.0,1.35,0.76,11:20:35,11:20:48,1556184.131527,0.09540568378334124,3.35839548173E7
252,21,31.22,49,2.0,102,50.0,1.2,0.78,11:20:48,11:20:56,564053.8315049998,0.0543164369378899,3.794747553949999E7
253,21,33.18,39,1.64,89,39.47,1.25,0.86,11:20:56,11:21:06,74880.51519499999,0.011203538507772004,2.4115767090500005E7
254,9,30.69,30,2.0,139,50.0,1.35,0.77,11:21:06,11:21:19,1305165.8541649997,0.08747663052226073,3.0582649313500013E7
255,37,38.25,30,2.0,159,44.33,1.32,0.83,11:21:19,11:21:32,345333.03449400025,0.0390420699145706,2.74964547506E7
256,24,35.2,30,2.0,236,50.0,1.28,0.84,11:21:32,11:21:46,562149.7465299998,0.05420014716701238,3.500907017699997E7
257,9,34.1,30,2.0,180,50.0,1.35,0.8,11:21:46,11:22:03,791816.756047,0.06672242487053515,2.5856958695299998E7
258,15,32.05,32,2.0,58,50.0,1.28,0.77,11:22:03,11:22:13,406503.4881249999,0.04375760484176605,2.4380426947499998E7
259,9,25.96,57,1.56,101,45.58,1.29,0.75,11:22:13,11:22:22,1002347.0585100001,0.07616849519709779,2.4285854999E7
260,23,24.3,35,1.86,134,48.87,1.31,0.83,11:22:22,11:22:28,267442.32635799993,0.032381048651073385,1.9556939394200005E7
261,46,23.09,40,1.87,97,40.59,1.25,0.87,11:22:28,11:22:30,-21316.345020000008,-0.0036784772278802835,1826175.002
262,9,37.68,30,1.89,129,50.0,1.35,0.76,11:22:30,11:22:48,878079.5037190001,0.07078595785753827,2.504612163809999E7
263,15,31.21,47,1.67,192,47.02,1.3,0.82,11:22:48,11:23:00,243974.45524300006,0.030203124129317915,2.1127092355699994E7
264,9,32.23,30,1.98,86,50.0,1.35,0.76,11:23:00,11:23:13,1083975.7947260002,0.07944460971522571,2.6375406747399997E7
265,37,31.72,45,2.0,119,49.55,1.29,0.79,11:23:13,11:23:19,599229.4590060003,0.05642206507130054,2.5719349219399996E7
266,13,31.32,40,1.61,242,38.42,1.35,0.8,11:23:19,11:23:36,1181544.8432389998,0.08312773657035999,3.35778395061E7
267,13,34.26,47,1.61,78,36.45,1.29,0.8,11:23:36,11:23:49,1282303.0397790002,0.0866968805477839,5.003968832210001E7
268,19,38.03,41,1.56,245,43.51,1.29,0.84,11:23:49,11:24:08,234364.03488000017,0.029285366252264744,2.1416965631999996E7
269,9,31.06,30,2.0,12,50.0,1.35,0.75,11:24:08,11:24:20,1331021.683148,0.08834584603124873,3.1693352105200022E7
270,18,28.91,37,1.57,300,45.37,1.28,0.87,11:24:20,11:24:34,394996.23224499996,0.0429009420917863,3.3166068465499986E7
271,17,28.17,59,1.55,26,42.06,1.26,0.75,11:24:34,11:24:40,26492.191824000212,0.004240142021488369,1.4380608657600004E7
272,9,34.19,30,2.0,207,50.0,1.35,0.8,11:24:40,11:24:58,369866.74550700025,0.04098233115224881,1.7804163999299992E7
273,24,34.41,33,2.0,119,50.0,1.35,0.75,11:24:58,11:25:07,554377.972937,0.053722950890276566,1.8699610586300015E7
274,9,24.99,30,1.67,9,50.0,1.35,0.82,11:25:07,11:25:15,394573.9335800003,0.0428692481904791,2.0492080922E7
275,19,33.16,48,1.63,128,32.63,1.24,0.8,11:25:15,11:25:26,465122.995552,0.047925720747181044,2.684931049479999E7
276,9,40.0,41,2.0,199,50.0,1.35,0.75,11:25:26,11:25:46,2014804.347732,0.10756609283919749,4.246408995680004E7
277,9,27.79,50,1.62,51,50.0,1.34,0.75,11:25:46,11:25:56,357965.1338660001,0.040049671802165454,1.1971036523400003E7
278,37,38.26,32,1.76,171,43.23,1.32,0.79,11:25:56,11:26:08,931932.2155250001,0.0731817480641681,3.0770691397500016E7
279,13,24.42,43,1.78,172,46.61,1.29,0.8,11:26:08,11:26:16,345839.1641480003,0.039082800371608384,1.8847745865200005E7
280,9,27.87,33,1.82,14,50.0,1.35,0.75,11:26:16,11:26:26,1082050.570608,0.07936948025019519,2.6934595209200006E7
281,14,39.14,30,1.68,9,50.0,1.35,0.83,11:26:26,11:26:42,824443.6557520002,0.06829408110283075,3.249295049479999E7
282,9,33.96,36,1.75,9,48.73,1.32,0.79,11:26:42,11:26:55,588229.1431420001,0.05577211726979714,2.3754096045799997E7
283,13,35.67,30,1.63,113,45.37,1.28,0.75,11:26:55,11:27:09,255379.99806499993,0.031272528555421175,1.4582561553500004E7
284,9,30.5,30,2.0,128,50.0,1.35,0.78,11:27:09,11:27:22,562174.2132520002,0.054201642990351795,2.02834121248E7
285,9,32.29,42,1.65,204,50.0,1.32,0.77,11:27:22,11:27:38,1272550.4562329997,0.08636100130792701,3.3040660946700007E7
286,9,34.61,41,1.78,128,50.0,1.31,0.75,11:27:38,11:27:53,2601087.8148769997,0.12013916155636517,6.126159282230001E7
287,12,29.82,30,2.0,9,48.57,1.34,0.75,11:27:53,11:28:02,1197988.2445490002,0.08372566248366464,2.9243042895099998E7
288,14,34.56,34,2.0,229,50.0,1.33,0.76,11:28:02,11:28:18,369984.650651,0.04099149169888561,1.801660206490001E7
289,9,34.64,42,1.73,44,50.0,1.31,0.75,11:28:18,11:28:32,2030446.873379,0.10793912140270612,5.2851892372099996E7
290,10,36.35,30,2.0,246,44.42,1.32,0.81,11:28:32,11:28:54,1902626.8440069999,0.10481861659806113,6.107418989929999E7
291,9,30.83,40,1.61,9,48.85,1.35,0.75,11:28:54,11:29:05,1740382.886521,0.10060003143155427,3.73313487279E7
292,12,28.27,50,1.73,97,48.89,1.27,0.78,11:29:05,11:29:14,843181.17032,0.06917720357014723,2.8885250827999994E7
293,29,32.37,35,2.0,49,50.0,1.32,0.79,11:29:14,11:29:20,-137126.2789130001,-0.030078719176226953,1.11794036213E7
294,9,34.93,42,1.59,177,50.0,1.31,0.75,11:29:20,11:29:38,2025936.6292999997,0.10783180989330021,5.333011907000001E7
295,10,27.54,31,1.93,12,43.39,1.34,0.8,11:29:38,11:29:47,84340.34838000021,0.012464340849450695,1.6950937042E7
296,9,40.0,46,1.74,169,50.0,1.3,0.75,11:29:47,11:30:06,1358288.172286,0.0892484169286023,4.1300814471399985E7
297,9,29.71,39,1.8,15,47.12,1.35,0.75,11:30:06,11:30:16,901757.5876989998,0.07185189697641525,2.1712164130099993E7
298,12,27.98,45,1.63,9,46.21,1.31,0.77,11:30:16,11:30:24,378490.7439890001,0.041648358090447646,1.8949348271099996E7
299,9,40.0,38,1.79,207,50.0,1.32,0.75,11:30:24,11:30:45,1379903.3284629998,0.08995395548576557,3.866159217369999E7
